Date,precipitation_sum (mm)
15/11/2025,0
16/11/2025,0
17/11/2025,0
18/11/2025,0
19/11/2025,0
20/11/2025,0
21/11/2025,0
22/11/2025,0
23/11/2025,0
24/11/2025,0
25/11/2025,0
26/11/2025,0
27/11/2025,0
28/11/2025,0
29/11/2025,0
30/11/2025,0
01/12/2025,0
02/12/2025,0
03/12/2025,0
04/12/2025,0
05/12/2025,0
06/12/2025,0
07/12/2025,0
08/12/2025,0
09/12/2025,0
10/12/2025,0
11/12/2025,0
12/12/2025,0
13/12/2025,0
14/12/2025,0
15/12/2025,0
16/12/2025,0
17/12/2025,0
18/12/2025,0
19/12/2025,0
20/12/2025,0
21/12/2025,0
22/12/2025,0
23/12/2025,0
24/12/2025,0
25/12/2025,0
26/12/2025,0
